timestamp,gpu_label,gpu_name,gpu_uuid,visible_vram_gib,mode,backend,sequence_length,batch_size,num_heads,head_dim,dtype,warmup,repetitions,baseline_memory_gib,peak_allocated_gib,peak_reserved_gib,median_latency_ms,mean_latency_ms,stdev_latency_ms,status,error
2026-09-10T16:49:38.390413,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,23.98779296875,fused,efficient_attention,512,4,8,64,BF16,2,5,0.005859375,0.0078125,0.01953125,0.12671999633312225,0.12832639813423158,0.005770318601650836,SUCCESS,
2026-09-10T16:49:38.441422,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,23.98779296875,fused,efficient_attention,1024,4,8,64,BF16,2,5,0.01171875,0.015625,0.01953125,0.13926400244235992,0.14046080112457277,0.004590389693273419,SUCCESS,
2026-09-10T16:49:38.486478,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,23.98779296875,fused,efficient_attention,2048,4,8,64,BF16,2,5,0.0234375,0.03125,0.0390625,0.35225600004196167,0.35409919619560243,0.004770122677219513,SUCCESS,
2026-09-10T16:49:38.537567,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,23.98779296875,fused,efficient_attention,4096,4,8,64,BF16,2,5,0.046875,0.0625,0.0625,1.1806720495224,1.1843584299087524,0.00758036520016708,SUCCESS,
2026-09-10T16:49:38.635898,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,23.98779296875,fused,efficient_attention,8192,4,8,64,BF16,2,5,0.09375,0.125,0.125,4.741024017333984,4.636038398742675,0.1666007724395128,SUCCESS,
2026-09-10T16:49:38.831632,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,23.98779296875,fused,efficient_attention,16384,4,8,64,BF16,2,5,0.1875,0.25,0.25,17.26361656188965,17.280166244506837,0.1560210745690152,SUCCESS,
