elapsed_seconds,window_seconds,matmuls,tflops
0.13536190000013448,0.13352230000236887,20,164.6933325379346
0.2656385999980557,0.13015159999849857,20,168.95860331931132
0.3963958999993338,0.13063550000151736,20,168.33274688170198
0.5276029999986349,0.13115370000014082,20,167.66764914368707
0.6585085000006075,0.1308407000033185,20,168.06874737724777
0.7891209999979765,0.13054669999837643,20,168.4472495727084
0.9246746999997413,0.13550400000167429,20,162.28474845944243
1.0609038000002329,0.13618160000260104,20,161.47726679008025
1.1967705999995815,0.13581060000069556,20,161.9183815947163
1.3335788999975193,0.13569250000000466,20,162.05930729789225
1.4675446999972337,0.13393229999928735,20,164.18916538905856
1.5993129999988014,0.13173269999970216,20,166.93070555427556
1.7306458999992174,0.13125570000192965,20,167.53735308406957
1.864278099998046,0.13358399999924586,20,164.61726371155336
1.9990045999984432,0.1346912999979395,20,163.26394173830386
2.13486699999703,0.13582929999756743,20,161.89608984154248
2.270884899997327,0.13597589999699267,20,161.72154445020294
2.4055792999970436,0.13462669999717036,20,163.34228318737811
2.5382006999971054,0.13258629999836558,20,165.85599383790844
2.6702447999996366,0.13200960000176565,20,166.58055592340162
2.805940999998711,0.13565200000084587,20,162.10769141172176
2.9425265999998373,0.1365460000015446,20,161.04633277628966
3.0780164999996487,0.13544760000149836,20,162.35232337285223
3.21586109999771,0.13780449999831035,20,159.5755766741262
3.350994799999171,0.13505269999950542,20,162.8270486676722
3.4865419999987353,0.13549730000158888,20,162.29277303136033
3.622885099997802,0.13626499999736552,20,161.37843581216856
3.7602339000004577,0.1372594000022218,20,160.20930118566775
3.896607899998344,0.1362860000008368,20,161.35356937165213
4.033746199998859,0.13706639999873005,20,160.43488816897317
4.170070099997247,0.1362407999986317,20,161.40710092527976
4.305143899997347,0.13498519999848213,20,162.9084711195544
4.439835400000447,0.13457430000198656,20,163.40588474318935
4.5732404999980645,0.1333061999976053,20,164.96031359317894
4.705958299997292,0.13264069999786443,20,165.78797123261603
4.838764500000252,0.13273090000075172,20,165.67530661959995
4.973517599999468,0.13470959999904153,20,163.24176269305576
5.108341799998016,0.13477190000048722,20,163.16630214043505
5.243293999999878,0.13486620000185212,20,163.05221438149815
5.378277199997683,0.13488850000067032,20,163.02525830897906
5.512030899997626,0.13367509999807226,20,164.5050765313594
5.645429599997442,0.1333199999971839,20,164.9432384937331
5.77838200000042,0.132869800003391,20,165.50211225544695
5.912412499998027,0.13397299999996903,20,164.13928594213075
6.057518999998138,0.14506079999773647,20,151.59321164548336
6.202089399997931,0.14447979999749805,20,152.20281697441996
6.337338799999998,0.13516010000239476,20,162.69766414149132
6.4713350999991235,0.13391340000089258,20,164.2123383871474
6.60455279999951,0.1331787000017357,20,165.11824004314056
6.737811899998633,0.1331845999993675,20,165.11092540447194
6.871837700000469,0.13396770000326796,20,164.14577957958207
7.006583599999431,0.13470299999971758,20,163.24976099690508
7.141174799999135,0.1345510999999533,20,163.43406003761865
7.27551069999754,0.13429679999899236,20,163.74353339532288
7.417644999997719,0.14204930000050808,20,154.8070462539509
7.560190099997271,0.142473500000051,20,154.34612440567633
7.695658099997672,0.13537879999785218,20,162.43483142019932
7.829799600000115,0.13407440000082715,20,164.01514797294885
7.964599399998406,0.13474439999845345,20,163.19960277215526
8.099368199997116,0.13472339999862015,20,163.22504149795228
8.234151399999973,0.13473870000234456,20,163.20650678043762
8.368314199997258,0.13408720000006724,20,163.99949104395478
8.5018061999981,0.13343729999905918,20,164.79824273778806
8.635068499999761,0.13320550000207732,20,165.08501942620288
8.768880100000388,0.13375710000036634,20,164.40422643328668
8.903422499999579,0.13450070000180858,20,163.49530192202943
9.043294600000081,0.13978750000023865,20,157.3118666224266
9.187954199998785,0.14451769999868702,20,152.16290153884117
9.326670899998135,0.13861999999789987,20,158.63679523772296
9.46101329999874,0.13424600000143982,20,163.80549554760776
9.594654399999854,0.13354199999957928,20,164.6690371238208
9.728642799997033,0.13388949999716715,20,164.24165118239497
9.863511499999731,0.13477609999972628,20,163.16121742330176
9.999271499997121,0.1356746999990719,20,162.08056885823538
10.133962699997937,0.13462629999776254,20,163.34276850723424
10.268019099999947,0.1339475000022503,20,164.170533643036
10.401951199997711,0.13384749999750056,20,164.29318856109109
10.535684299997229,0.1336548999970546,20,164.5299390894356
10.669803699998738,0.13404340000124648,20,164.05307949004214
10.804216499996983,0.13432279999688035,20,163.71183861586212
10.939033099999506,0.13476520000040182,20,163.1744141325389
11.074255999999878,0.1351396999998542,20,162.72222415429164
11.208532199998444,0.13418900000033318,20,163.8750758666165
11.342537699998502,0.13392129999920144,20,164.20265152482187
11.476335399998788,0.1337018000012904,20,164.47222517054945
11.610247999997227,0.13383969999995315,20,164.30276334695682
11.744863399999304,0.13452560000223457,20,163.46503977796587
11.879863999998634,0.1349000000009255,20,163.01136067731008
12.014849899998808,0.13488850000067032,20,163.02525830897906
12.149115099997289,0.13417379999737022,20,163.89364060607215
